dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
1,2025-06-16T15:12:46.263777,dataset_001_20250616_151246_263.jpg,3,0.0,none,3.32,0.0,9,10577,10291,1.47,-4.3,22.7,1017.9,61.5
2,2025-06-16T15:13:04.108227,dataset_002_20250616_151304_108.jpg,5,0.0,none,6.570000000000001,0.4,15,10694,9571,1.56,-4.24,22.6,1017.9,61.6
3,2025-06-16T15:13:19.306133,dataset_003_20250616_151319_306.jpg,5,0.0,none,3.329999999999999,0.03,13,10928,9934,1.33,-4.04,22.6,1017.8,61.6
4,2025-06-16T15:13:35.300559,dataset_004_20250616_151335_300.jpg,5,0.0,none,6.01,0.0,13,10401,9385,1.29,-4.21,22.7,1017.8,61.6
