dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
1,2025-06-12T12:44:44.862754,dataset_001_20250612_124444_862.jpg,3,0.0,none,1.9300000000000002,0.24,7,10045,9840,-0.37,-6.43,23.7,1016.4,61.6
2,2025-06-12T12:45:04.681649,dataset_002_20250612_124504_681.jpg,5,0.0,none,8.5,0.0,20,10453,9325,-0.42,-6.31,23.7,1016.4,61.5
3,2025-06-12T12:45:19.720869,dataset_003_20250612_124519_720.jpg,4,0.0,left,5.209999999999999,0.0,13,-3249,-3359,-0.55,-6.39,23.7,1016.4,61.4
4,2025-06-12T12:45:34.613663,dataset_004_20250612_124534_613.jpg,1,0.0,none,6.2,0.0,16,8863,10236,-0.49,-6.32,23.7,1016.4,61.4
5,2025-06-12T12:45:51.552542,dataset_005_20250612_124551_552.jpg,5,0.0,top,11.040000000000001,0.0,17,228,203,-0.42,-6.35,23.7,1016.4,61.3
6,2025-06-12T12:46:05.328288,dataset_006_20250612_124605_328.jpg,3,0.0,none,6.19,0.0,9,10046,9849,-0.39,-6.53,23.7,1016.4,61.1
7,2025-06-12T12:46:20.353137,dataset_007_20250612_124620_353.jpg,5,0.0,none,4.73,0.0,10,10454,9356,-0.55,-6.34,23.7,1016.4,61.1
