cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T14:54:04.155968,3,0.6,0.09,1.2462177,-1.0330291,0.061753526,2.117073,0.027742185,-1.0697309,0.8747199,0.5293534,-1.5156687,-0.2862299,0.30974895,1.4653026,0.37367976,-1.2760895,1.0167302,-0.44123808,-0.1712195,0.58204716,0.6579463,-0.110311404,-0.91455966,0.53900445,0.5390068,-1.1274278,-1.3531761,0.6868771,-1.3934954,0.5577021,2.25939,-0.82310814,-0.69878507,0.416165,0.71058655,-1.754761,0.8613396,0.24691436,-1.8657596,-0.11957628,0.7355383,-1.4020826,0.8654401,-0.43199888,0.54466474,0.21546303,0.8225936,-0.17159674,-0.7499099,-0.004345454,-0.7500024,1.2058775,-0.6094165,-0.79666317,-2.1359847,0.18706585,0.5896059,-0.6464971,-0.21757805,-0.7583511,-0.32305735,2.3275526,0.7197474,0.7335593,1.3218474,-1.3966057,14.0,71.875,24.5,50.8,1017.6,-0.44,-7.15,35.0,14.0,0.0,0.0,0.0,3.0
2,2025-07-04T14:54:08.586988,5,0.6,0.09,1.3329926,-0.46719936,-0.2719663,2.3144498,-0.45439294,-0.4298121,0.7922652,0.46634465,-1.7360088,-0.29492277,0.8072241,1.3143624,0.524562,-1.7900662,0.58193713,0.48234797,0.5265155,1.0574049,0.8907529,-0.5286071,-0.27506915,-0.05367397,0.8757587,-0.9137989,-1.4061316,0.2600317,-1.292507,1.376929,1.352128,-1.1548493,-1.0379242,0.8108065,0.43125844,-1.4666454,0.7191468,-0.3495499,-1.6704354,-0.9146209,0.85062313,-1.4366037,0.6746612,-0.594877,0.96039855,-0.03599339,0.5475763,0.1277143,-0.18739976,0.7055688,-0.74961865,1.0314875,-0.50405055,-1.4446223,-1.4472947,-0.7828407,0.66228056,-0.5898851,-0.6151482,-1.2195556,-0.21617536,2.2771132,0.541912,1.3113768,0.91288376,-1.1885678,14.0,71.875,24.5,50.8,1017.6,-0.71,-7.19,32.0,13.0,0.0,0.0,0.0,5.0
3,2025-07-04T14:54:18.226257,3,0.6,0.1,1.506548,-0.2674224,0.051656082,1.9626535,-0.06860714,-0.65376353,0.7632175,0.97346896,-2.066253,0.12912403,0.1606448,1.1882659,0.06522828,-1.242174,1.0166277,-0.064746164,0.015630633,0.7773453,0.082551874,-0.38646954,-0.27932942,0.28922564,0.4017883,-0.5020968,-2.2076073,-0.085299306,-1.3175943,0.7975856,1.5676193,-1.0333849,-0.6793359,0.41210395,0.42857188,-1.4631048,1.6642567,-0.03679754,-1.5550177,-1.1834248,0.3513166,-1.2834269,0.4644845,-0.45319584,0.79343885,-0.022593781,0.6537636,0.7095504,-0.10816283,-0.2609107,-0.20284306,1.4058851,-0.33035326,-1.5582916,-2.1544445,-0.19210705,1.1906,-0.48616767,-0.2915355,-0.53040403,-0.47902206,2.5446084,0.9161237,0.60368776,0.8816379,-1.3233243,14.0,70.0,24.5,50.7,1017.6,0.0,-7.15,23.0,11.0,0.0,0.0,0.0,3.0
4,2025-07-04T14:54:22.955675,5,0.6,0.12,1.4528321,-0.37198195,0.0037435025,1.9888008,0.13237809,-0.57821137,0.2940889,0.6803511,-1.8043143,-0.6248961,0.29580402,1.5301778,0.49399439,-1.2642295,1.1930275,-0.35348815,-0.28236067,0.67494816,0.37485543,-0.5155482,-0.90583414,0.31048334,0.72485733,-0.95745176,-1.2885725,0.24296217,-1.0155169,0.5907725,1.6300032,-0.9612693,-0.38903913,0.6992966,0.63384956,-1.7521554,1.171514,0.36037245,-1.7964598,-0.4695493,0.29625136,-1.5669472,1.0425117,-0.5673384,0.8042695,0.30580628,0.5317885,-0.28809115,-0.6021183,0.17496918,-0.96291906,1.1960855,-0.64016193,-0.87625337,-1.8891836,0.5262834,0.4711031,-0.7365458,0.007380435,-1.528921,-0.21327902,2.9539313,0.81409967,0.88703245,0.8165946,-1.1045806,14.0,69.375,24.5,50.8,1017.6,-0.5,-7.0,28.0,16.0,0.0,0.0,0.0,5.0
5,2025-07-04T14:54:30.091963,2,0.6,0.12,1.2160498,-0.33767292,0.33843517,1.6412563,0.24997988,-1.2361476,0.81344026,1.2667248,-1.9497081,-0.18943939,0.19777901,1.2956192,0.32235038,-1.3736213,1.0063262,-0.21846808,0.0015859473,-0.13545996,0.4003335,-0.21336637,-0.3543766,-0.49164152,0.60535276,-0.30203322,-2.0948677,0.04871512,-1.1292971,1.2332175,1.2558908,-0.92998165,-0.35018826,0.061695922,0.3453648,-1.5314543,1.5754308,-0.58802736,-1.7333701,-1.2179127,0.6669059,-0.78604853,0.7308348,-0.27471846,1.1417089,0.15533252,0.63276863,-0.027595755,0.26137617,-0.3431992,0.049776033,1.6833533,-0.82612485,-1.6351147,-2.2195027,-0.123319656,1.1396345,-0.74302727,-0.47274685,-0.5271315,-0.116829686,2.3551552,1.480893,0.750326,0.368643,-0.8198621,14.0,70.0,24.5,50.8,1017.6,0.09,-7.12,20.0,14.0,0.0,0.0,0.0,2.0
6,2025-07-04T14:54:36.927424,0,0.6,0.12,1.4852519,-0.35086796,0.12400841,1.9970738,-0.27313018,-0.7998772,0.6474408,0.39628693,-1.8952825,-0.9817157,0.74782556,1.5707693,0.52726233,-1.2944366,0.9428257,-0.2314278,-0.21075347,0.42363316,0.5378901,-0.74443877,-1.0236497,0.2687833,0.3814761,-1.1181632,-1.176678,0.16412838,-0.68453205,0.68891066,1.8455638,-0.8121205,-0.18769167,0.60584,0.70759904,-2.1830006,1.4194242,0.61696905,-1.8840116,-0.3641948,0.58410627,-1.3938626,0.7464877,-0.52147996,0.79741657,0.3090494,0.48133558,-0.19455855,-0.63568026,0.13513476,-0.6349535,1.3919808,-0.3916071,-0.95239383,-2.014283,0.34702337,0.7986405,-1.0851005,-0.16957968,-0.904409,-0.47119805,2.339743,0.6497161,0.88983464,1.0364544,-1.0208094,14.0,71.25,24.5,50.8,1017.7,-0.22,-6.83,26.0,18.0,0.0,0.0,0.0,0.0
7,2025-07-04T14:54:42.362313,0,0.6,0.06,0.85361105,-0.36497262,0.26511958,2.4527802,-0.7582773,-0.56294996,0.7754443,0.758776,-1.4560227,-0.06063813,0.75752157,1.4516768,0.39775866,-1.93898,0.87930465,0.7511307,0.47164136,0.5210753,0.36449754,-0.3011751,-0.72866637,0.033628237,0.9425107,-0.12191263,-1.301881,0.30827278,-1.4400306,1.3316283,1.4478855,-1.3568927,-0.7675024,0.7444157,0.6304776,-1.5485274,0.39219034,-0.074422866,-1.9959244,-1.0396105,0.71115637,-1.2964313,0.57936627,-0.28017497,1.1627164,0.012831188,0.53583133,-0.23652765,-0.5380553,0.43621457,-0.7159267,1.2208112,-0.8448226,-1.282304,-1.4975785,-0.5657861,0.9143606,-0.67907196,-0.2150494,-1.329804,0.13298471,2.2495105,0.5658876,1.1393375,0.49630478,-1.3887393,14.0,71.25,24.6,50.8,1017.6,0.41,-6.72,45.0,15.0,0.0,0.0,0.0,0.0
