cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T14:34:34.885340,5,0.3000001311302185,3.877614603830909e-22,-0.09337852,0.6177797,0.026794702,-1.9477168,0.51286006,-0.52649415,0.8279307,0.35124224,0.18784441,-1.2044218,1.8335395,0.29254115,-0.22228369,1.3834909,1.8390315,0.5459898,-0.9519067,-0.6398546,-0.65174985,0.37694868,0.49536,-0.25414556,-0.11045327,0.57358366,0.9086714,0.22632417,-1.416343,1.1909782,-0.24342674,-0.29964876,-0.61780906,-0.09563554,0.3220122,-1.2544422,-0.37272155,-1.0132767,-0.67176247,0.090336874,-0.24233124,-0.28290674,-0.682055,0.68037033,0.12883069,2.81265,0.9660848,0.3183211,-2.1087768,1.7240857,0.9717427,-1.1607225,0.9211186,0.0642312,-1.332741,-0.5639054,-0.106436364,-0.6329992,1.2126249,-0.22808443,-0.678937,0.8630276,-0.106966436,-3.2541323,0.109615795,0.5925027,14.0,72.5,24.2,50.5,1017.4,-0.2,-6.94,22.0,14.0,0.0,0.0,0.0,5.0
2,2025-07-04T14:34:43.366677,3,0.30000007152557373,4.290425894186299e-22,-0.7504946,1.5043162,-0.22820786,-2.4696407,1.3858953,0.014517471,0.5320984,-0.015791938,-0.49482065,-0.5394631,0.8176362,0.4573248,0.5802561,1.214022,1.5901275,0.684052,-1.006749,-1.3760864,-0.44774607,0.8727693,0.05355316,-0.5538861,-1.0945208,1.3735074,-1.31008,0.5163743,-0.49594155,1.2742364,0.15319192,-1.0607339,-0.41524512,1.0402435,-1.2827667,-0.48942563,-0.23633336,-0.694988,-0.93431926,0.8514097,0.2991553,0.06701497,0.0017009076,-0.018146923,0.0024195388,1.9551797,1.8596458,1.8178686,-1.046232,1.250998,0.4281021,-1.013942,-0.28611624,0.33258003,-1.8794594,-1.1810617,0.36680642,-0.41747874,-0.5700292,-0.25746104,-0.8499689,1.3113258,1.2772872,-1.9406582,-0.6123513,0.08453062,14.0,71.25,24.2,50.5,1017.4,-0.33,-6.34,17.0,10.0,0.0,0.0,0.0,3.0
3,2025-07-04T14:34:48.140414,2,0.30000007152557373,4.958333849144522e-22,-0.43136907,1.6956558,0.08333257,-1.9190978,1.3814447,-0.17931262,0.21383324,0.18498088,0.10631437,-0.29527113,0.7231425,0.06879349,1.0304152,1.353295,1.4432586,0.81258446,-1.1386346,-1.0329579,-0.7730755,0.40067375,0.4804344,-0.8492785,-1.0250479,1.353824,-0.95495224,0.30374748,-0.86394984,1.1536233,-0.13399339,-0.84928143,-0.8256941,0.6811601,-0.5829687,-0.8480873,-0.11991431,-0.77389127,-1.0912328,0.20201214,0.37987626,0.027147515,0.36367133,-0.12651157,-0.058475215,2.6500707,1.5851204,1.5898192,-0.9951581,0.92094374,0.48127007,-1.3436697,0.049331192,1.2166963,-2.315487,-1.0815219,0.46133444,-0.5836134,-0.2974396,0.15785871,-0.7733004,0.72909075,0.85405815,-2.571482,0.19067892,-0.49482358,14.0,70.625,24.2,50.6,1017.4,-0.36,-6.55,19.0,2.0,0.0,0.0,0.0,2.0
4,2025-07-04T14:35:02.738790,5,0.30000007152557373,4.3086148809590335e-22,0.33805177,0.25318813,0.6803599,-1.5532001,0.5415832,-1.1342642,0.51653385,0.53455836,-0.2376785,-0.74074256,0.10705102,0.91390693,1.1363915,1.8636194,1.6033084,-0.086247064,-0.9290758,-0.5670768,-0.6662806,0.60244817,-0.05070219,-1.0338778,-0.9681693,0.96257216,-0.85562205,1.2373796,-0.1169449,1.2726686,-0.3989453,-1.1539043,-0.24452169,1.0433843,0.59236,-0.18859018,-0.8233404,-0.57050306,-1.9164717,0.757968,0.94030076,0.8858264,-0.24043751,-0.37994188,0.5937482,2.5445008,-0.2922453,1.8770542,-0.7550015,2.3449388,-0.20770703,-0.80316424,0.14350829,0.21331874,-2.1056178,-0.37836117,0.15686432,-0.7446092,0.035125628,-0.42337903,-0.543531,-0.591806,-0.35969394,-2.6089592,0.5007248,-0.52263147,14.0,71.25,24.3,50.7,1017.4,-0.66,-6.61,37.0,4.0,0.0,0.0,0.0,5.0
5,2025-07-04T14:35:09.337975,5,0.3000001013278961,3.8053425755736706e-22,-0.78130543,0.694722,0.71084625,-1.7169065,0.38799894,-0.73463064,0.41618004,0.33222628,-0.43603495,-1.4000641,1.4172093,0.19164285,0.25964773,2.1885874,2.053116,0.8854884,-1.150402,-1.5892632,-0.1507854,0.90738684,0.44836897,-0.6334004,-0.5598359,1.0712794,-0.34669718,0.5349261,-0.2654243,0.30288926,-0.22101697,-0.23515198,-0.6391959,0.35313222,0.28891906,-0.69785815,-0.0014934993,-0.9133672,-1.0838317,0.40189275,0.5100568,0.14886074,0.024882836,0.042082988,0.33581337,2.0436912,0.7729937,1.947928,-1.5874128,1.6401094,0.4568963,-0.4550326,0.21464776,0.1288115,-2.6964324,-0.8310072,0.535758,-0.4352159,-0.22953606,-0.150513,-0.24676049,0.44988188,0.037739124,-3.058125,0.5825964,-0.47251058,14.0,71.25,24.3,50.7,1017.5,-0.88,-7.0,23.0,12.0,0.0,0.0,0.0,5.0
