timestamp,action_state,distance_scale,stop_certainty,policy_inference,state_instance,imu_roll,imu_pitch,imu_yaw,encoder_left,encoder_right,power_in_voltage,power_in_current,power_out_voltage,power_out_current,ldr_left,ldr_right,temperature,humidity,pressure,bumper_top,bumper_bottom,bumper_left,bumper_right,motion,Solar_In
14.7432,idle,0.3,0.0,0,0,-0.16,-6.6,0.0,0,0,13.17,-0.0,13.16,0.4,22,12,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7432,idle,0.3,0.0,0,1,-0.25,-6.42,0.0,0,0,13.17,-0.0,13.16,0.41,25,11,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7432,idle,0.3,0.0,0,0,-0.03,-6.48,0.0,0,0,13.17,-0.0,13.16,0.41,29,11,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7432,idle,0.3,0.0,0,0,-0.23,-6.64,0.0,0,0,13.17,-0.0,13.16,0.42,22,10,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7433,idle,0.3,0.0,0,0,-0.05,-6.42,0.0,0,0,13.15,-0.0,13.15,0.43,28,7,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7433,idle,0.3,0.0,0,0,-0.11,-6.54,0.0,0,0,13.16,-0.0,13.14,0.47,25,5,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7433,idle,0.3,0.0,0,0,-0.16,-6.53,0.0,0,0,13.17,-0.0,13.16,0.41,22,11,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7433,idle,0.3,0.0,0,0,-0.17,-6.51,0.0,0,0,13.17,-0.0,13.15,0.43,22,13,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7434,idle,0.3,0.0,0,0,-0.03,-6.53,0.0,0,0,13.17,-0.0,13.16,0.41,28,6,24.4,50.6,1017.5,0,0,0,0,stop,0.0
14.7434,idle,0.3,0.0,0,0,0.0,-6.62,0.0,0,0,13.17,-0.0,13.16,0.41,22,11,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7434,idle,0.3,0.0,0,0,-0.11,-6.59,0.0,0,0,13.17,-0.0,13.16,0.41,29,8,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7435,idle,0.3,0.0,0,0,-0.13,-6.54,0.0,0,0,13.17,-0.0,13.16,0.41,26,9,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7435,idle,0.3,0.0,0,0,-0.05,-6.5,0.0,0,0,13.15,-0.0,13.15,0.43,24,13,24.4,50.6,1017.6,0,0,0,0,stop,0.0
14.7435,idle,0.3,0.0,0,0,-0.41,-6.57,0.0,0,0,13.16,-0.0,13.14,0.45,25,3,24.4,50.6,1017.6,0,0,0,0,stop,0.0
