cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T14:44:38.417297,4,0.3,1.0,0.32140678,0.77609557,1.2559894,-0.6889422,-0.97361034,-1.203134,-2.197391,0.15161948,0.72652316,-0.8185473,0.7332164,-1.4113317,0.656973,0.12768754,-0.75095576,-0.49586195,1.6656266,-1.5437938,0.6852721,-0.12748563,-0.47035104,0.24536441,-0.44102454,0.3057706,0.59640765,1.4073404,-0.13142261,0.28424284,-0.537392,0.6109227,0.79271406,-0.5162963,-1.5593969,-0.7579192,-2.2214696,1.069473,0.16145338,-1.448524,-0.08974807,0.9285766,-1.0485479,1.1219815,-1.1526551,-0.18711779,1.0640928,0.8317234,0.77281123,-1.305892,2.7327073,0.6296063,-0.83880347,-0.07010588,-0.6963752,-0.3713116,-0.29582956,0.66426545,-0.64410096,0.3434514,0.7590579,-0.6623822,0.4966228,2.5860002,0.5000656,-0.34734192,14.0,71.875,24.4,50.6,1017.6,-0.16,-6.38,20.0,7.0,0.0,0.0,0.0,4.0
2,2025-07-04T14:44:41.784554,5,0.3,1.0,0.2846624,0.71325624,1.3208117,-0.6473136,-0.94955516,-1.1265491,-2.146676,0.28889152,0.6389477,-0.7725325,0.7710987,-1.419489,0.7708971,0.05782839,-0.7326628,-0.48550695,1.7695917,-1.5545706,0.61244947,-0.17924295,-0.5241035,0.27826744,-0.5212362,0.4023006,0.56894606,1.3504977,-0.20544589,0.24588712,-0.4230911,0.6438978,0.8585266,-0.49280542,-1.578276,-0.86386675,-2.1448045,1.0357256,0.10427383,-1.3735373,-0.03794982,0.86886704,-1.0302261,1.2181302,-1.17283,-0.23463145,1.1695281,0.9083859,0.73313683,-1.4161165,2.687936,0.5756239,-0.859546,-0.06350341,-0.8316219,-0.4456755,-0.320453,0.47722843,-0.56565475,0.33948883,0.89094174,-0.6460887,0.57937473,2.543855,0.39673182,-0.34042245,14.0,72.5,24.4,50.6,1017.6,-0.14,-6.55,24.0,12.0,0.0,0.0,0.0,5.0
3,2025-07-04T14:44:45.352994,5,0.3,1.0,0.26862907,0.6184564,1.2827086,-0.5922884,-0.831428,-1.155659,-2.2184095,0.3363863,0.6250959,-0.83311504,0.767531,-1.4197136,0.7515286,0.20918643,-0.67292804,-0.37042624,1.7232887,-1.4979982,0.5759544,-0.24510437,-0.5268281,0.28565714,-0.49439794,0.42516044,0.5788729,1.3324958,-0.22408076,0.25308073,-0.45179626,0.6870433,0.87415314,-0.48465654,-1.6008826,-0.83456576,-2.222343,1.0522366,0.11266694,-1.3654928,-0.08432349,0.8418705,-0.9725405,1.230078,-1.0991836,-0.21361199,1.1071187,0.8932675,0.694132,-1.4675959,2.6587367,0.6506769,-0.88277936,-0.056777753,-0.7652942,-0.4719296,-0.39335153,0.5372423,-0.6479665,0.27024013,0.89009535,-0.65237933,0.5730247,2.6200147,0.4013156,-0.37809858,14.0,71.875,24.4,50.6,1017.6,-0.13,-6.58,24.0,11.0,0.0,0.0,0.0,5.0
4,2025-07-04T14:44:48.118448,5,0.3,1.0,0.30566046,0.72771734,1.3102343,-0.47351438,-0.92187846,-1.0614376,-2.3626053,0.6432498,0.3500774,-0.74618095,0.85445654,-1.436475,0.91311455,0.12555833,-0.6153758,-0.6041947,1.6909106,-1.4480436,0.5876027,-0.31672546,-0.43966833,0.42172414,-0.5013629,0.3155851,0.45841688,1.4587431,-0.4014226,0.12840505,-0.30434686,0.67972016,0.83191735,-0.43622878,-1.6400521,-0.9634808,-2.0917997,1.0589554,-0.007006955,-1.3707085,-0.097112164,0.85526186,-1.0290091,1.2702711,-1.2113292,-0.2536562,1.4444755,0.9533847,0.77770835,-1.4542617,2.5116339,0.4524429,-0.7865768,0.1218559,-0.906009,-0.48417923,-0.32783306,0.3403268,-0.7252314,0.26691583,0.84461635,-0.3917344,0.63417095,2.428713,0.29878458,-0.25317165,14.0,71.875,24.4,50.6,1017.6,-0.05,-6.52,23.0,4.0,0.0,0.0,0.0,5.0
5,2025-07-04T14:44:50.884506,4,0.3,1.0,0.34848467,0.7490058,1.3547862,-0.42735976,-0.86653316,-1.1687298,-2.1890602,0.45288238,0.47069028,-0.7356839,0.87564516,-1.4049165,0.8217461,0.0017732074,-0.7617966,-0.45913574,1.7936896,-1.5166608,0.4608701,-0.29562736,-0.34489927,0.2807336,-0.43738234,0.3957236,0.4811032,1.3883114,-0.24099581,0.19974777,-0.29721624,0.535619,0.86778754,-0.56739813,-1.5421355,-0.8136395,-2.240297,1.0787252,-0.013888079,-1.3973316,-0.14129272,0.83045745,-1.0696725,1.2384874,-1.3397918,-0.18254039,1.412148,0.9321436,0.6685364,-1.4432651,2.5753224,0.5386254,-0.8563915,0.04957059,-0.8861473,-0.22032845,-0.4636023,0.40701136,-0.68565553,0.38207063,0.7773948,-0.58738106,0.7167449,2.4183414,0.39805007,-0.3054737,14.0,72.5,24.4,50.6,1017.6,-0.19,-6.47,30.0,6.0,0.0,0.0,0.0,4.0
6,2025-07-04T14:44:54.350601,4,0.3,1.0,0.31679553,0.7012882,1.2868099,-0.5923811,-0.9183352,-1.1956944,-2.2186594,0.2517912,0.589614,-0.8031293,0.7919174,-1.3163595,0.75286734,0.113223396,-0.73018867,-0.46330905,1.7002952,-1.4893268,0.6401604,-0.20917976,-0.5040563,0.19209674,-0.41072196,0.4088613,0.54955167,1.4483302,-0.22034314,0.33139083,-0.4601213,0.6205894,0.85829,-0.51745397,-1.4802158,-0.7608224,-2.221258,1.059398,0.058562063,-1.435316,-0.14715695,0.87790126,-1.0932692,1.2032051,-1.1806662,-0.2902968,1.2342919,0.8493377,0.72691,-1.4098368,2.7038677,0.6045197,-0.90895265,-0.069924586,-0.7298223,-0.32448384,-0.30477494,0.47929233,-0.60354,0.36503452,0.7293083,-0.6805847,0.53068215,2.589127,0.4436095,-0.3187381,14.0,72.5,24.4,50.6,1017.6,-0.19,-6.61,29.0,7.0,0.0,0.0,0.0,4.0
