dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
1,2025-06-16T17:34:44.606135,dataset_001_20250616_173444_606.jpg,3,0.0,none,0.0,0.0,25,9170,9124,0.16,-3.48,24.0,1016.7,58.8
2,2025-06-16T17:35:03.825597,dataset_002_20250616_173503_825.jpg,5,0.0,none,0.0,0.0,15,456,-412,0.19,-3.32,24.0,1016.7,58.9
3,2025-06-16T17:35:17.575561,dataset_003_20250616_173517_575.jpg,3,0.0,none,0.0,0.0,27,8320,8255,0.7,-2.37,24.0,1016.7,58.9
4,2025-06-16T17:35:33.164189,dataset_004_20250616_173533_164.jpg,3,0.0,none,0.0,0.0,30,8575,8584,-0.4,-2.46,24.0,1016.8,58.9
5,2025-06-16T17:35:48.860714,dataset_005_20250616_173548_860.jpg,3,0.0,none,0.0,0.0,23,0,0,-0.55,-2.28,24.0,1016.8,58.9
