cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T14:48:19.900792,4,0.3,0.0,0.73316866,0.09562639,1.2890252,-0.45919588,-0.63504267,0.9047582,1.2358865,-1.3131516,-0.9773335,1.1838082,1.1365261,0.35541618,-0.95152026,-1.6872424,-0.5985119,1.3125694,-0.21819453,-0.4733023,1.3411001,0.39069867,0.090715736,0.3195247,-0.6514569,-1.218197,-0.6021908,0.19111653,1.1411524,-0.20738436,1.2189101,0.6431391,-1.4108036,-0.038718253,-0.059694216,0.11423397,-0.07109819,0.79677075,1.4683106,-1.7203138,1.0474396,-2.0884926,0.74131525,-0.6557508,0.54112995,1.3938264,1.0296435,0.3750338,-0.9504238,1.5730195,0.83939904,-1.6101496,-0.74558854,-1.4094361,0.17921217,-1.9787868,0.64679825,0.2727404,-0.64103085,-0.29265857,-0.03557725,-0.20321073,-0.20491366,1.9598846,-0.7048346,-1.7476943,14.0,72.5,24.5,50.6,1017.6,-0.16,-6.59,29.0,7.0,0.0,0.0,0.0,4.0
2,2025-07-04T14:48:26.838569,1,0.3,0.0,0.70564145,0.1348424,0.6802174,-0.5019283,-0.8882665,0.7879616,1.2647637,-1.7216988,-1.043368,1.5209032,1.0268912,0.044684105,-1.2732607,-1.4648669,-0.594508,0.42587608,-1.7404244,-0.81219596,0.35161376,0.15956084,0.28385505,0.5848963,-0.674153,-1.0084023,-0.75096416,0.8282449,0.471651,0.3860201,1.3667296,1.195041,-2.270872,0.6886641,-0.56796926,-0.31090915,0.045402665,0.1727271,1.9192439,-1.6536832,1.6280128,-0.6205814,0.9202348,0.27464002,-0.6603472,2.0128717,1.8434278,0.23938638,-0.24684978,1.8494097,0.35597008,-0.79613054,-0.10270483,-0.8501494,-0.3290424,-0.7228694,0.2512772,0.39783496,-1.6629031,-1.1925242,0.11816443,-0.10626583,0.15791352,1.0599529,-0.50684893,-1.0798402,14.0,71.875,24.5,50.6,1017.6,-0.5,-6.25,15.0,18.0,0.0,0.0,0.0,1.0
3,2025-07-04T14:48:34.174470,4,0.3,0.0,0.76521426,0.1347528,1.3170187,-0.6137151,-0.8419886,1.1371613,1.6450285,-1.4993564,-1.0874857,1.1386745,0.7942637,0.06732667,-1.2615005,-1.8321947,-0.7379105,1.054813,-1.0017321,-0.6993855,1.7555072,-0.019341659,0.092502095,0.29776654,-0.69307053,-1.1976328,-1.2128621,0.47475168,0.93226826,0.015722577,1.3284345,0.7428863,-1.1351283,0.24251103,0.025020923,0.43621448,0.049025506,1.0699266,1.3879998,-1.8519298,0.7222771,-1.2443599,0.737646,-0.43877435,0.34170717,1.6375655,0.8345775,0.44290262,-0.7843342,1.6536455,0.7501253,-1.5854497,-0.31375974,-1.0895512,0.06393489,-1.6807615,0.50123125,0.4851711,-0.7598591,-0.45995593,0.04737251,-0.7466325,-0.36023948,1.8112384,-0.23009034,-1.5551834,14.0,70.625,24.5,50.7,1017.6,-0.19,-6.56,26.0,2.0,0.0,0.0,0.0,4.0
4,2025-07-04T14:48:40.105329,3,0.3,0.0,0.5148287,0.71771955,1.6095877,-0.6166233,-1.2552136,0.52439266,1.5908431,-1.6716484,-1.2501411,1.105065,1.4838831,-0.1524887,-0.7962761,-1.5769628,-0.3972186,0.90742207,-0.9529348,-0.68831897,0.8780549,0.39747325,0.39230427,0.4618026,0.025625043,-1.4162164,-1.0128319,0.61831963,0.8797052,-0.23221895,1.5006407,0.85887885,-1.7179201,0.38634902,-0.052948453,0.23669966,0.71518075,0.591209,1.0512782,-1.288447,0.6844882,-1.3102822,0.8111331,-0.58169276,0.47499788,1.7147298,1.0901152,-0.020175012,-0.48837107,2.0206342,0.5076254,-1.2226263,-0.91698825,-1.0641675,0.16601293,-1.8478425,0.377429,0.6044822,-0.8690671,-0.43059406,-0.51348644,-0.49716175,-0.28525862,1.6770952,-1.1154042,-1.33448,14.0,71.25,24.5,50.7,1017.7,-0.52,-6.62,21.0,12.0,0.0,0.0,0.0,3.0
5,2025-07-04T14:48:43.933687,3,0.3,0.0,0.46527368,0.79030657,1.6092741,-0.4070665,-1.4056994,0.42380315,1.5359159,-1.9988,-1.3105581,1.0651606,1.3931003,0.039957985,-0.7422566,-1.7470571,-0.40432954,0.8161882,-1.2299352,-0.9160844,0.79673094,0.147955,0.5317976,0.5979698,0.061278716,-1.3321708,-0.8210746,0.46713597,0.96703047,-0.1389421,1.6338027,1.3657429,-1.4901379,0.29596385,-0.01293836,-0.034999777,0.6068009,0.49149305,0.9863012,-1.3009893,0.5846885,-1.0512493,0.7043105,-0.23231989,0.21850222,1.7605585,1.2154319,-0.015282755,-0.63932776,2.0920632,0.42824793,-1.2905974,-0.69739914,-0.97299784,0.4334438,-1.7062895,0.2542825,0.58639973,-1.0773398,-0.60152334,-0.32114407,-0.2109626,-0.22638224,1.4173777,-1.2209535,-1.2274815,14.0,71.25,24.5,50.8,1017.6,-0.27,-6.58,21.0,11.0,0.0,0.0,0.0,3.0
6,2025-07-04T14:48:48.665883,2,0.3,0.0,0.767798,0.27365863,1.438396,-0.28329822,-0.85989547,0.50847244,1.7369918,-1.5406892,-1.1669772,0.9277687,1.3561603,0.016259927,-0.8492067,-1.3948252,-0.45911434,0.8370065,-0.94336057,-0.8053605,1.0745292,0.34919626,0.52642334,0.67677844,-0.13009438,-1.6020569,-0.7753257,0.49182498,0.40004387,-0.106353834,1.4623909,1.0917239,-1.3478956,0.38672462,-0.010541606,-0.059019726,0.55126923,0.30204198,1.2727568,-1.3036737,0.6818806,-1.4194617,0.9485893,-0.49605304,0.60823286,1.7109531,1.386018,-0.16035737,-0.7634787,2.151055,0.5480932,-1.2559638,-0.98407733,-1.3554673,0.23573722,-1.7469943,0.42157933,0.16262852,-0.9574675,-0.39890832,-0.052868895,-0.7898206,0.04937452,1.5572662,-1.075287,-1.8157287,14.0,71.875,24.5,50.7,1017.6,-0.47,-6.84,23.0,13.0,0.0,0.0,0.0,2.0
7,2025-07-04T14:48:55.315657,5,0.3,0.0,1.0239966,0.16395731,1.3479753,-0.6085648,-0.6466458,0.7856988,1.2965357,-1.2158405,-1.4506344,1.2178859,0.918845,0.28031448,-1.1995533,-1.9771118,-1.0562254,0.5763089,-0.20259057,-0.4628284,1.3836912,0.23708858,-0.2804221,0.82745683,0.058162797,-1.6864939,-1.049414,0.64671475,1.1236588,0.33688352,0.85559404,0.64340067,-1.265081,0.62436306,0.1737401,0.293528,0.5119783,0.69470793,1.5370046,-1.9429569,0.9704646,-1.6865687,0.5149629,-0.38385472,0.43130064,1.1104667,0.7928378,0.5900137,-0.6027348,1.3256183,1.2937126,-1.2790723,-0.33175984,-1.4625897,-0.3375841,-1.9643179,0.78805894,0.7463037,-0.58078355,-0.1450171,-0.107843,-0.96730965,-0.44509155,1.5414543,-1.0661372,-1.2596577,14.0,71.25,24.5,50.7,1017.6,-0.3,-6.58,33.0,15.0,0.0,0.0,0.0,5.0
8,2025-07-04T14:49:03.054266,3,0.3,0.0,0.8224505,0.12802136,1.1605226,-0.8387879,-0.5574652,1.0471344,1.5020946,-1.5600513,-1.171571,1.5718995,0.6462508,-0.32131845,-1.2254345,-0.72157204,-0.3438376,0.80932087,-0.96479607,-1.0152825,1.3596708,0.26882678,0.2081292,-0.30740392,-0.45832032,-1.1442899,-1.0710353,0.60054725,0.13779831,0.32294396,1.4794376,0.78016096,-2.0924475,0.060306776,-0.15165158,0.48662823,0.5363778,0.44197077,1.4260336,-1.7830968,1.2633193,-1.5013112,0.9164802,-0.25121945,0.6704137,1.3373554,1.6598593,0.30359298,-0.12090592,1.8583549,0.7124583,-0.23946439,-0.8657228,-1.2614726,-0.3771314,-1.4291974,0.5337927,0.41325864,-0.8959793,-0.31767076,-0.33615512,-1.0055864,-0.25258648,1.7223054,-1.1526068,-1.4523453,14.0,70.0,24.5,50.7,1017.6,-0.41,-6.9,26.0,17.0,0.0,0.0,0.0,3.0
9,2025-07-04T14:49:08.785938,2,0.3,0.0,0.76729155,0.14458282,1.3036561,-0.53075254,-0.3918153,0.5411141,1.5553136,-1.5734608,-1.2756035,1.27288,1.3823892,0.43235323,-1.2253528,-1.328201,-0.26154622,0.50483656,-0.84890336,-1.2324487,0.94444406,0.3870488,0.7555469,-0.23002818,-0.68921596,-1.2602484,-0.80353576,1.0278112,0.64596546,-0.26294658,1.3351942,0.6248774,-2.1394536,0.20573168,-0.49209964,0.1348198,0.05915245,0.2819423,1.3818724,-2.0155025,1.3098967,-1.1455685,0.9790711,0.077302404,0.17538561,1.2245144,1.3066683,0.6120554,-0.42535976,1.8641706,0.6639695,-0.52148205,-0.73688996,-1.4834951,-0.09527359,-1.146587,0.41967958,0.38802865,-1.0257803,-0.5781978,0.26259866,-0.88484436,0.34111205,1.8363932,-0.95677173,-1.5883049,14.0,71.25,24.5,50.7,1017.6,-0.41,-6.96,18.0,16.0,0.0,0.0,0.0,2.0
10,2025-07-04T14:49:15.526806,5,0.3,0.0,0.48288423,0.28217146,1.4971638,-0.35730508,-0.5062901,0.73767215,1.3484519,-1.0973992,-0.6496695,0.6993769,1.3136803,0.3587669,-1.162887,-2.6846745,-1.0164751,0.8930043,-0.5134625,-0.08676339,1.4850178,-0.1035167,0.10018104,0.7637342,-0.84673965,-0.8579219,-1.104402,0.46476543,1.6364661,0.12961388,1.0910306,0.2495727,-1.212816,0.49135807,0.22866394,0.20850462,-0.41662234,0.93943584,0.8941934,-1.8270284,0.79346615,-1.1869003,0.8999297,-0.6853308,0.0109217595,1.8657818,0.852988,0.8860264,-0.58873194,1.8408703,0.4898,-1.886047,-0.33340317,-1.0277072,0.2973025,-1.6102623,0.32910165,0.16907832,-0.79729337,-0.5359835,0.27020785,-0.8201124,-0.3402572,1.4035604,-0.30140978,-1.847331,14.0,70.625,24.5,50.6,1017.6,-0.13,-6.86,24.0,13.0,0.0,0.0,0.0,5.0
