dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
1,2025-06-17T13:35:18.794986,dataset_001_20250617_133518_794.jpg,5,0.0,none,0.0,0.0,39,44,28,0.55,-3.1,24.3,1015.5,59.5
2,2025-06-17T13:35:33.296979,dataset_002_20250617_133533_296.jpg,3,0.0,none,0.0,0.0,20,39,27,0.4,-3.24,24.3,1015.5,59.5
3,2025-06-17T13:35:48.102581,dataset_003_20250617_133548_102.jpg,4,0.0,none,0.0,0.0,32,-5,0,0.15,-2.42,24.3,1015.5,59.6
4,2025-06-17T13:36:03.150176,dataset_004_20250617_133603_150.jpg,4,0.0,top,0.0,0.0,31,-5947,-5979,0.02,-2.83,24.3,1015.5,59.6
5,2025-06-17T13:36:18.819092,dataset_005_20250617_133618_819.jpg,5,0.0,none,0.0,0.0,40,25,21,-0.45,-2.76,24.3,1015.5,59.7
6,2025-06-17T13:36:34.780206,dataset_006_20250617_133634_780.jpg,3,0.0,none,0.0,0.0,20,0,0,-0.47,-3.51,24.3,1015.5,59.7
7,2025-06-17T13:36:49.506243,dataset_007_20250617_133649_506.jpg,2,0.0,none,0.0,0.0,32,7,8,-0.47,-3.26,24.3,1015.5,59.7
8,2025-06-17T13:37:04.066880,dataset_008_20250617_133704_066.jpg,3,0.0,none,0.0,0.0,21,20,20,-0.48,-2.9,24.3,1015.5,59.7
9,2025-06-17T13:37:19.423445,dataset_009_20250617_133719_423.jpg,5,0.0,none,0.0,0.0,2,86,-94,-1.08,-2.68,24.3,1015.5,59.5
