dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
1,2025-06-16T17:13:33.851404,dataset_001_20250616_171333_851.jpg,3,0.0,none,0.0,0.0,20,10468,10368,0.63,-2.78,23.7,1016.9,60.8
2,2025-06-16T17:13:51.822633,dataset_002_20250616_171351_822.jpg,5,0.0,none,0.0,0.0,22,3283,-1021,0.42,-1.78,23.7,1016.9,60.8
3,2025-06-16T17:14:06.978539,dataset_003_20250616_171406_978.jpg,5,0.0,none,0.0,0.0,39,10905,10564,0.21,-3.28,23.7,1016.8,60.8
4,2025-06-16T17:14:23.389884,dataset_004_20250616_171423_389.jpg,2,0.0,none,0.0,0.0,17,0,0,-0.45,-3.19,23.7,1016.8,60.8
5,2025-06-16T17:14:38.075710,dataset_005_20250616_171438_075.jpg,2,0.0,none,0.0,0.0,44,9487,9472,-0.49,-3.16,23.7,1016.8,60.9
6,2025-06-16T17:14:51.191894,dataset_006_20250616_171451_191.jpg,1,0.0,none,0.0,0.0,24,3952,4019,-0.47,-3.02,23.7,1016.9,60.8
7,2025-06-16T17:15:06.856435,dataset_007_20250616_171506_856.jpg,3,0.0,none,0.0,0.0,20,10155,9986,0.21,-3.69,23.7,1016.8,60.8
