cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T15:14:05.109612,5,0.51,0.15,0.46296537,-1.4752893,-0.46614504,-0.037339468,0.01657571,0.7861068,-0.45654264,-2.0569043,-0.09223002,0.319237,-0.7010244,-0.8606541,1.0197176,-1.7154886,-0.33268678,-0.8916584,1.1261806,0.06633713,0.47785264,0.867643,-0.8276647,0.036977045,0.54602563,-0.4460151,0.38895464,1.3279334,-0.12108142,0.94974536,0.07003922,1.4114614,0.28592736,-0.36436743,-1.5735697,2.8270442,1.2283436,-2.308376,0.283262,1.437144,-1.0709779,-0.12409278,-1.676839,-0.4092565,-1.0581577,0.025936536,0.80402017,-0.18043481,1.08482,-0.07992173,0.4454449,0.31239268,1.2724359,-0.036844116,-0.80381376,-0.4501587,1.1003559,-1.5753939,-0.1633262,-0.14130718,0.6342277,2.3700798,0.06512615,0.4313089,-1.0689319,-0.91513026,0.14999999,0.71875,0.24799998,0.48499998,10.177,-0.0002,-0.042199995,0.48,0.26999998,0.0,0.0,0.0,0.049999997
2,2025-07-04T15:14:12.345858,1,0.43,0.13,1.2413999,0.38046622,0.6601177,-0.6016103,0.55983996,1.7607641,-0.06969033,-1.9683543,0.63454187,-0.044136513,0.92544734,1.0936124,1.8981574,-0.5345575,0.2211369,0.695886,1.5454211,-0.5484575,0.6060928,1.3169013,-0.48051348,-1.3889036,-0.59107524,-1.6174208,-0.48661706,0.6195462,-0.502047,0.8110904,-1.1332594,0.24003188,-0.8638139,-0.60324746,-0.90911365,0.94835025,0.2600107,-2.2310815,-0.57711375,1.4798622,-0.6741721,-0.94891524,-1.9150511,0.11822223,-0.54326725,-0.0022952491,0.723983,0.6523909,1.9543414,0.071906984,-0.46053225,-0.6601846,-0.5072098,-1.201979,-0.7736313,0.36137035,1.000437,-1.0495498,-1.0056922,0.5042679,1.4317607,0.96935964,0.47639483,1.0775133,-1.0879608,-1.2591697,0.14999999,0.7125,0.24799998,0.487,10.177,0.0008,-0.035499997,0.38,0.32,0.0,0.0,0.0,0.01
3,2025-07-04T15:14:19.284055,5,0.48,0.15,0.8107705,-0.95059514,-0.48367494,0.25201693,-0.3100738,0.59679437,-0.40307426,-1.4456141,-0.024746079,0.11892848,-0.17467384,-0.4958065,1.3721634,-1.2944226,-1.0364888,-1.0251787,1.2277555,0.71277946,0.71281314,0.5773985,-0.8152295,-0.24192178,1.0072988,-0.26299757,-0.15025583,1.8510154,-0.7661593,1.2002286,0.28744885,0.8616804,0.009983472,-0.28835824,-1.1959492,3.5484114,0.71649116,-2.4985218,-0.49271518,1.2723023,-1.1743388,-0.30825615,-1.6956595,-0.8827362,-1.059532,0.30891412,-0.16690867,-0.10645901,0.86632943,0.08137028,0.29672176,-0.36366394,0.6275458,-0.6608052,-0.66568387,-0.54202557,0.9760542,-0.69725466,0.36749288,-0.1679432,0.72771573,2.4295673,0.5609326,0.41461602,-0.8940319,-1.051785,0.14999999,0.70625,0.24799998,0.48599997,10.1779995,0.0038999997,-0.0316,0.39,0.21,0.0,0.0,0.0,0.049999997
4,2025-07-04T15:14:26.117095,1,0.49,0.16,-0.17986958,-1.0110939,-0.63386863,-1.1595782,0.46181855,0.97922987,0.11939469,-0.7171721,-0.02566717,-0.62364495,-0.99350566,-0.13211197,0.86396486,-1.3220246,0.5063306,-0.0023582387,1.4581097,0.19711052,0.52977353,1.3192439,-0.3970902,-0.20820835,0.2973492,-0.87564373,0.9305685,1.4444847,-0.37377188,0.52208334,-0.48982874,1.1730119,0.83987314,-0.7107757,-0.82402533,2.1571653,1.4400346,-2.243064,0.16326573,1.3552711,-1.1879803,-0.30586693,-2.5420651,0.17000486,-2.411405,-0.6314711,0.55737925,-0.68954986,1.4686042,-0.5673555,0.36923903,0.146375,0.94389874,-0.3227284,-0.73521775,-0.92798847,0.9300758,-1.1921519,-0.41312382,0.47838703,0.9008736,1.7104897,0.94003135,0.9266215,-0.5764334,-0.8734218,0.14999999,0.70625,0.24799998,0.48599997,10.177,0.0018999999,-0.0349,0.41,0.28,0.0,0.0,0.0,0.01
5,2025-07-04T15:14:33.250801,5,0.49,0.15,0.30144033,-1.311507,-0.17277953,0.31471437,-0.75006413,0.61545235,-0.38021344,-2.0206234,0.33775052,0.23444559,-0.40412632,-0.31019428,1.220495,-1.7219839,-0.5127644,-1.2681901,1.4704221,-0.20097119,0.5517574,1.0702825,-0.5897491,-0.48213503,1.2716229,-0.21964882,-0.2577783,1.5880008,-0.32912678,0.6784956,0.20041397,0.88583046,0.6679627,-0.15576889,-0.99451226,3.1975343,0.6486102,-2.4963133,-0.53968,0.93852144,-1.3374927,-0.27476105,-1.8036718,-0.34267318,-1.2163229,-0.120686755,0.6263047,-0.015164914,0.9695534,-0.011176384,0.029943764,-0.5645891,0.47116455,-0.32569602,-0.32794783,-0.56108415,1.3058873,-1.2487127,0.12446715,0.19473898,0.9048065,2.3772216,0.60755455,0.47011915,-0.10064704,-0.90675867,0.14999999,0.70625,0.24799998,0.48599997,10.177,0.0023999999,-0.0339,0.28,0.28,0.0,0.0,0.0,0.049999997
6,2025-07-04T15:14:39.482901,3,0.44,0.15,0.2349522,-0.5363142,-0.6176061,-0.41646555,0.1670964,1.7411311,0.5136935,-1.4326413,-0.69444543,-0.3619761,-0.13867311,1.0273526,0.4023169,-1.2605408,0.7889317,-1.0231596,1.102029,0.0058467314,-0.3301737,1.7166985,-1.1102021,0.118486166,0.47740424,-1.4078332,0.841806,1.1725098,-0.43843228,0.22466286,-0.21998887,0.68545586,0.5729033,0.119309954,-1.0460135,1.7968562,0.80853,-2.6905022,0.57971025,1.6999146,-1.2598112,-0.45182568,-2.4701126,0.4608325,-1.4706739,-0.5692892,0.40881738,-0.095037185,1.0441033,-0.902282,0.16493946,0.5381634,1.4575903,-1.020218,-1.2497993,-1.0192026,1.0611095,-0.84017444,-0.41563442,1.021625,0.72172815,1.1255865,1.3869877,-0.15469107,-0.6093582,0.06399623,0.14999999,0.7,0.24799998,0.48499998,10.177,0.0005,-0.0393,0.66999996,0.35999998,0.0,0.0,0.0,0.03
7,2025-07-04T15:14:43.912010,3,0.48,0.16,0.5980451,-0.69315845,-0.595402,-0.08017627,0.52439815,1.1608671,-0.28295138,-1.0713404,-0.106946334,-0.40614575,-0.24388726,1.0172534,1.0569179,-1.0922358,0.7189297,0.10624467,1.7966001,-0.89186996,0.1767376,0.9263096,-0.7091658,-0.07123756,0.45559034,-1.6043354,0.059056893,1.4852576,-0.39279193,0.36144277,1.1448789,1.1313964,0.3721361,-0.80479336,-1.2331507,2.5130239,0.9861175,-1.8220915,0.33962294,1.6710224,-1.3586267,-0.766953,-1.9484582,-0.93073606,-1.2843332,-0.09442958,-0.35619414,-0.5006955,1.6154877,-0.45834002,0.32720113,0.17254187,1.4840189,-0.67411834,-0.91424793,-0.8136136,0.6136794,-1.9774305,-0.40005898,0.97733766,0.87525266,1.141217,0.32176584,0.5767078,-1.1450939,-0.9820484,0.14999999,0.7,0.24799998,0.48499998,10.177,-0.0030999999,-0.0387,0.65999997,0.41,0.0,0.0,0.0,0.03
8,2025-07-04T15:14:48.041273,3,0.51,0.16,0.98984915,-1.1001077,-0.45716012,0.3354462,0.0026976177,1.0877266,-0.5025249,-0.7088252,-0.42970416,-0.6230753,-0.2674234,0.6367352,0.42159697,-0.15651886,0.35181585,-0.097581685,1.3534603,-0.10542116,0.42928144,0.8957855,-0.5410326,-0.24432376,0.68394595,-0.7142717,-0.31127474,1.6968714,-0.7247202,-0.14627096,0.7758862,0.9470676,0.49080977,-0.89022505,-1.3207927,2.0974665,1.3136126,-2.1931832,0.09977949,1.7161585,-1.5246181,-0.9934495,-2.0135567,-0.8650604,-1.2643334,-0.72897655,-0.0011054619,-0.25946623,1.513051,0.2626691,0.49143657,-0.21240883,2.0515926,0.26580542,-1.1309714,-1.233735,0.60845214,-2.0989807,-0.031864867,0.40787578,0.5849984,2.120148,0.77113384,0.21549685,-0.7493656,-0.9763233,0.14999999,0.7,0.24799998,0.484,10.177,-0.0033,-0.030499998,0.61,0.55,0.0,0.0,0.0,0.03
9,2025-07-04T15:14:52.571094,0,0.48,0.16,0.5655032,-0.61162657,-0.09998574,0.63905174,-0.5820205,1.32834,0.05940346,-1.3472439,-0.3085704,0.10352476,0.060370766,0.81171304,0.24767952,-0.35954067,0.5012805,0.034202978,1.7653562,-0.4824917,0.25574216,0.8927296,-0.03919563,-0.2703119,0.29821086,-1.0630187,0.17129649,2.0225263,-0.7829651,0.25997487,1.2000542,1.2544036,0.30850446,-0.65983176,-1.3318229,1.9430759,0.43504757,-1.8512386,0.3489647,2.0946066,-1.1139342,-1.2374012,-2.0008192,-0.6939081,-1.1914682,-0.84595287,-0.38580394,-0.53162956,1.8330804,-0.7695414,0.355517,-0.4098114,1.2417873,-0.5390979,-1.4194219,-0.8175245,0.84969825,-2.3267314,-0.32940248,0.36523244,0.30072674,1.7073646,0.82872224,0.58543146,-0.8678881,-0.3989239,0.14999999,0.70625,0.24799998,0.48299998,10.177,-0.0033,-0.0508,0.68,0.64,0.0,0.0,0.0,0.0
10,2025-07-04T15:15:05.819743,2,0.5,0.15,0.27549198,-1.4599794,-0.27808064,-0.28810912,-0.4553107,0.94443727,0.24971789,-1.3659416,0.31024984,0.026333561,0.2996731,0.19311386,1.5818812,-1.2498552,0.6115108,-0.5721111,0.87700963,-0.22867529,0.26094493,1.1122081,-1.0646774,-0.40117,0.6492698,-1.2394421,0.11931383,1.3695009,-0.7323787,3.0229186e-05,0.08587519,0.68248457,0.65488935,-0.30946985,-0.87002873,2.577602,0.84685105,-2.0830998,-0.3316336,2.3257134,-1.3121899,-0.12850305,-1.7710454,-1.2107664,-1.3100063,-0.58246547,0.34205,0.16098942,1.0677723,-0.09523735,0.22617131,0.5355722,1.4428409,0.15883172,-1.4997424,-1.1649791,1.0390625,-1.3594415,-0.41506544,0.33142376,0.06996475,2.2591076,0.6849892,0.8266512,-0.36320427,-1.0569202,0.14999999,0.69374996,0.24799998,0.48,10.177,-0.006,-0.0364,0.35999998,0.71999997,0.0,0.0,0.0,0.02
