timestamp,action_state,state_instance,imu_roll,imu_pitch,imu_yaw,encoder_left,encoder_right,power_in_voltage,power_in_current,power_out_voltage,power_out_current,ldr_left,ldr_right,temperature,humidity,pressure,bumper_top,bumper_bottom,bumper_left,bumper_right,motion,Solar_In
17.5484,idle,0,-0.74,-6.99,0.0,0,0,13.21,-0.0,13.19,0.41,24,1,26.5,50.5,1008.3,0,0,0,0,stop,0.0
17.5484,idle,1,-0.68,-6.89,0.0,0,0,13.21,-0.0,13.2,0.42,30,2,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5484,idle,0,-0.69,-6.91,0.0,0,0,13.21,-0.0,13.19,0.41,26,2,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5485,idle,0,-0.83,-6.9,0.0,0,0,13.2,-0.0,13.18,0.42,24,4,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5485,idle,0,-0.79,-6.8,0.0,0,0,13.21,-0.0,13.2,0.41,25,9,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5485,idle,0,-0.79,-6.79,0.0,0,0,13.21,-0.0,13.19,0.41,27,5,26.5,50.5,1008.3,0,0,0,0,stop,0.0
17.5486,idle,0,-0.63,-6.81,0.0,0,0,13.2,-0.0,13.19,0.54,23,9,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5486,idle,0,-0.77,-6.81,0.0,0,0,13.21,-0.0,13.19,0.43,24,9,26.5,50.6,1008.3,0,0,0,0,stop,0.0
17.5486,idle,0,-0.68,-6.86,0.0,0,0,13.21,-0.0,13.19,0.4,31,5,26.5,50.6,1008.3,0,0,0,0,stop,0.0
