timestamp,data_id,image_filename,image_height,image_width,image_channels,latest_command,sensor_imu_roll,sensor_imu_pitch,sensor_imu_yaw,sensor_imu_working,sensor_encoders_left,sensor_encoders_right,sensor_encoders_distance,sensor_current,sensor_ldr_left,sensor_ldr_right,sensor_environment_temperature,sensor_environment_humidity,sensor_environment_pressure,sensor_environment_working,sensor_bumpers_top,sensor_bumpers_bottom,sensor_bumpers_left,sensor_bumpers_right,sensor_mode,sensor_timestamp,random_type,random_angle,random_distance
2025-06-11T13:40:46.362881,48,img_000048_20250611_134046_362.jpg,480,640,3,"FORWARD,2.0",0.5,-4.78,-17.1,True,5968,789,3295,-0.29,6,7,23.9,53.6,1017.6,True,0,0,0,0,moving,1749663646.411076,forward,0.0,2.0
2025-06-11T13:40:47.362883,49,img_000049_20250611_134047_362.jpg,480,640,3,"FORWARD,2.0",-0.72,-8.15,-19.16,True,6729,637,3738,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663647.41074,forward,0.0,2.0
2025-06-11T13:40:48.362881,50,img_000050_20250611_134048_362.jpg,480,640,3,"TURN,-60",-0.08,-5.86,-2.06,True,9246,-1214,3577,-0.29,0,1,23.9,53.7,1017.5,True,0,0,0,0,turning,1749663648.4105005,turn,-60.0,0.0
2025-06-11T13:40:49.362882,51,img_000051_20250611_134049_362.jpg,480,640,3,"TURN,-60",-0.16,-5.94,-4.29,True,12129,-4031,3577,0.32,0,0,23.9,53.7,1017.6,True,0,0,0,0,turning,1749663649.4102085,turn,-60.0,0.0
2025-06-11T13:40:50.362881,52,img_000052_20250611_134050_362.jpg,480,640,3,"TURN,-60",-0.28,-5.04,-6.49,True,15017,-6855,3577,-0.29,6,2,23.9,53.7,1017.6,True,0,0,0,0,turning,1749663650.4112887,turn,-60.0,0.0
2025-06-11T13:40:51.362880,53,img_000053_20250611_134051_362.jpg,480,640,3,"FORWARD,2.0",-0.02,-6.11,-8.61,True,1960,814,1364,1.42,1,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663651.4112432,forward,0.0,2.0
2025-06-11T13:40:52.363272,54,img_000054_20250611_134052_363.jpg,480,640,3,"FORWARD,2.0",0.57,-5.25,-10.69,True,2662,1117,1872,-0.29,0,0,23.9,53.7,1017.5,True,0,0,0,0,moving,1749663652.4113734,forward,0.0,2.0
2025-06-11T13:40:53.362883,55,img_000055_20250611_134053_362.jpg,480,640,3,"FORWARD,2.0",-0.02,-6.08,-12.84,True,3647,554,2132,0.81,0,3,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663653.4133182,forward,0.0,2.0
2025-06-11T13:40:54.362883,56,img_000056_20250611_134054_362.jpg,480,640,3,"FORWARD,2.0",0.15,-6.83,-15.0,True,4534,457,2489,-0.17,4,4,23.9,53.8,1017.5,True,0,0,0,0,moving,1749663654.413495,forward,0.0,2.0
2025-06-11T13:40:55.363274,57,img_000057_20250611_134055_363.jpg,480,640,3,"FORWARD,2.0",-0.4,-4.11,-17.22,True,6370,911,3607,0.08,0,0,23.9,53.7,1017.5,True,0,0,0,0,moving,1749663655.4144857,forward,0.0,2.0
2025-06-11T13:40:56.362915,58,img_000058_20250611_134056_362.jpg,480,640,3,"FORWARD,2.0",1.08,-9.29,-19.27,True,7173,385,3781,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663656.4160826,forward,0.0,2.0
2025-06-11T13:40:57.362883,59,img_000059_20250611_134057_362.jpg,480,640,3,"FORWARD,2.0",-1.08,-4.16,-21.53,True,8251,779,4496,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663657.4170597,forward,0.0,2.0
2025-06-11T13:40:58.362883,60,img_000060_20250611_134058_362.jpg,480,640,3,"FORWARD,2.0",-0.91,-6.62,-23.68,True,8872,286,4589,0.2,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663658.418049,forward,0.0,2.0
2025-06-11T13:40:59.362886,61,img_000061_20250611_134059_362.jpg,480,640,3,"FORWARD,2.0",0.05,-5.77,-25.82,True,10098,264,5195,-0.04,4,3,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663659.4184856,forward,0.0,2.0
2025-06-11T13:41:00.362856,62,img_000062_20250611_134100_362.jpg,480,640,3,"FORWARD,2.0",0.18,-7.69,-27.93,True,11764,858,6335,-0.29,0,0,23.9,53.8,1017.6,True,0,0,0,0,moving,1749663660.4190438,forward,0.0,2.0
2025-06-11T13:41:01.362886,63,img_000063_20250611_134101_362.jpg,480,640,3,"FORWARD,2.0",-0.35,-5.86,-30.0,True,12813,475,6575,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663661.4206274,forward,0.0,2.0
2025-06-11T13:41:02.362934,64,img_000064_20250611_134102_362.jpg,480,640,3,"FORWARD,2.0",0.24,-8.14,-31.78,True,13965,758,7257,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663662.321532,forward,0.0,2.0
2025-06-11T13:41:03.362887,65,img_000065_20250611_134103_362.jpg,480,640,3,"FORWARD,2.0",0.72,-7.24,-34.18,True,14714,726,7578,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663663.4224257,forward,0.0,2.0
2025-06-11T13:41:04.362886,66,img_000066_20250611_134104_362.jpg,480,640,3,"FORWARD,2.0",-0.65,-6.39,-36.38,True,16025,655,8207,-0.29,2,0,23.9,53.7,1017.5,True,0,0,0,0,moving,1749663664.4223173,forward,0.0,2.0
2025-06-11T13:41:05.362912,67,img_000067_20250611_134105_362.jpg,480,640,3,"TURN,-60",-0.79,-4.58,-0.26,True,17747,943,8895,-0.29,0,14,23.9,53.6,1017.6,True,0,0,0,0,turning,1749663665.3237097,turn,-60.0,0.0
2025-06-11T13:41:06.362879,68,img_000068_20250611_134106_362.jpg,480,640,3,"TURN,-60",0.06,-5.68,-2.37,True,20661,-1665,8895,-0.29,0,0,23.9,53.7,1017.5,True,0,0,0,0,turning,1749663666.327862,turn,-60.0,0.0
2025-06-11T13:41:07.362923,69,img_000069_20250611_134107_362.jpg,480,640,3,"TURN,-60",0.03,-5.7,-4.51,True,23549,-4467,8895,-0.29,0,0,23.9,53.7,1017.6,True,0,0,0,0,turning,1749663667.3286405,turn,-60.0,0.0
2025-06-11T13:41:08.362880,70,img_000070_20250611_134108_362.jpg,480,640,3,"FORWARD,2.0",-0.12,-7.32,-6.61,True,324,-78,53,-0.29,9,0,23.9,53.7,1017.6,True,0,0,0,0,moving,1749663668.3255801,forward,0.0,2.0
2025-06-11T13:41:09.362903,71,img_000071_20250611_134109_362.jpg,480,640,3,"FORWARD,2.0",-0.06,-6.74,-8.75,True,1668,1251,1469,1.05,0,0,23.9,53.7,1017.5,True,0,0,0,0,moving,1749663669.328963,forward,0.0,2.0
